# source=RotorDin Fortran direct source tree sha256 1f8077d8444593a7e5b17a482d20c27d9298bef38389c86ca2c88c285f61dca0
# command=rotordin -std -f -b
# response_contract=UNBIF 1200 rpm; UNBFF 7200 rpm; UNBFD 400; UNBMD 10
# generation=legacy Project serialization kept TABLE/support/geometry unchanged; only UNBIF/UNBFF restored to original INI intent after serializer range override
# full_graph_points=402; this golden set is deterministic decimation plus resonance neighborhoods
# probes=467.8mm coord1 45deg; 467.8mm coord2 45deg; 2202.2mm coord1 45deg; 2202.2mm coord2 45deg
rpm,amp_p1_m,amp_p2_m,amp_p3_m,amp_p4_m,phase_p1_rad,phase_p2_rad,phase_p3_rad,phase_p4_rad
4192.527832,10.13515206,6.96158066,8.640234576,12.56692174,3.07470727,4.15306139,2.489363432,4.316928864
4342.151855,7.871857174,5.524250458,8.235736294,8.572401813,2.653757334,4.181190491,2.294677496,4.275994301
4491.775879,6.598776291,4.678059707,7.834729028,6.599828233,2.392293215,4.223522186,2.165309668,4.324343681
4641.399902,5.879585979,3.939150565,7.461872774,5.782029668,2.244455814,4.286440849,2.037505865,4.383853912
4791.023926,5.401125866,3.378462087,7.17691377,5.431532599,2.149208546,4.370498657,1.920041919,4.430484295
4940.647949,5.048213442,2.978939698,6.983091523,5.280902478,2.076385021,4.471338272,1.813518047,4.464364529
5090.271973,4.809273396,2.708821955,6.852127291,5.252909275,2.014606476,4.598506927,1.710731149,4.484042168
5239.895996,4.677987974,2.595418376,6.776545491,5.302315708,1.949024677,4.750502586,1.60928762,4.492486954
5389.52002,4.619612716,2.666975567,6.795248535,5.426746608,1.861343384,4.895713806,1.50860393,4.497792244
5539.144043,4.567127024,2.881992845,7.016269452,5.71042119,1.737691283,4.995887756,1.401593328,4.50663662
5688.768066,4.467144777,3.162167688,7.619285745,6.362897005,1.568253756,5.043890953,1.264671683,4.508693218
5838.39209,4.295561839,3.45167024,8.918731871,7.799479564,1.326872468,5.042134285,1.045183778,4.457174778
5913.204102,4.15828213,3.5576489,9.994400811,9.046011643,1.156527519,5.015718937,0.8679694533,4.374907017
5928.166504,4.121806852,3.568311905,10.2505301,9.351679492,1.116248608,5.007746696,0.8234455585,4.350234032
5943.128906,4.080623808,3.573055885,10.51898132,9.676510104,1.073440433,4.998869419,0.775046587,4.321973324
5958.091309,4.033627567,3.570395169,10.79763451,10.01927998,1.027901649,4.989172935,0.7223380208,4.289689064
5973.053711,3.979456299,3.558589681,11.08306982,10.37754581,0.9794403911,4.978833199,0.6648471951,4.252910614
5988.016113,3.916494134,3.535681102,11.37004272,10.74704388,0.9279128313,4.96817112,0.6020948887,4.211158752
6047.865723,3.537622333,3.295399736,12.33924904,12.15853902,0.6920423508,4.937854767,0.2900722623,3.986071348
6062.828125,3.402185591,3.19486172,12.46247953,12.42068539,0.6277683377,4.940881729,0.1958545595,3.91433835
6077.790527,3.249242894,3.08328072,12.50056629,12.60650342,0.5634288788,4.952952862,0.09566701949,3.836945534
6092.75293,3.080856534,2.968986864,12.43564102,12.69501186,0.5007998943,4.977009773,6.273622036,3.754826307
6107.715332,2.901328104,2.864317544,12.25502648,12.66941796,0.4419901371,5.015369415,6.164687157,3.669327736
6122.677734,2.717237843,2.784481631,11.95441074,12.52062121,0.3892039061,5.068494797,6.053748608,3.582159996
